"time","OP"
2.638,0.038
2.64,0.04
2.64,0.02
2.642,0.022
2.644,0.024
2.646,0.026
2.648,0.028
2.65,0.03
2.652,0.032
2.654,0.034
2.656,0.036
2.658,0.038
2.66,0.04
2.66,0.02
2.662,0.022
2.664,0.024
2.666,0.026
2.668,0.028
2.67,0.03
2.672,0.032
2.674,0.034
2.676,0.036
2.678,0.038
2.68,0.04
2.68,0.02
2.682,0.022
2.684,0.024
2.686,0.026
2.688,0.028
2.69,0.03
2.692,0.032
2.694,0.034
2.696,0.036
2.698,0.038
2.7,0.04
2.7,0.02
2.702,0.022
2.704,0.024
2.706,0.026
2.708,0.028
2.71,0.03
2.712,0.032
2.714,0.034
2.716,0.036
2.718,0.038
2.72,0.04
2.72,0.02
2.722,0.022
2.724,0.024
2.726,0.026
2.728,0.028
2.73,0.03
2.732,0.032
2.734,0.034
2.736,0.036
2.738,0.038
2.74,0.04
2.74,0.02
2.742,0.022
2.744,0.024
2.746,0.026
2.748,0.028
2.75,0.03
2.752,0.032
2.754,0.034
2.756,0.036
2.758,0.038
2.76,0.04
2.76,0.02
2.762,0.022
2.764,0.024
2.766,0.026
2.768,0.028
2.77,0.03
2.772,0.032
2.774,0.034
2.776,0.036
2.778,0.038
2.78,0.04
2.78,0.02
2.782,0.022
2.784,0.024
2.786,0.026
2.788,0.028
2.79,0.03
2.792,0.032
2.794,0.034
2.796,0.036
2.798,0.038
2.8,0.04
2.8,0.02
2.802,0.022
2.804,0.024
2.806,0.026
2.808,0.028
2.81,0.03
2.812,0.032
2.814,0.034
2.816,0.036
2.818,0.038
2.82,0.04
2.82,0.02
2.822,0.022
2.824,0.024
2.826,0.026
2.828,0.028
2.83,0.03
2.832,0.032
2.834,0.034
2.836,0.036
2.838,0.038
2.84,0.04
2.84,0.02
2.842,0.022
2.844,0.024
2.846,0.026
2.848,0.028
2.85,0.03
2.852,0.032
2.854,0.034
2.856,0.036
2.858,0.038
2.86,0.04
2.86,0.02
2.862,0.022
2.864,0.024
2.866,0.026
2.868,0.028
2.87,0.03
2.872,0.032
2.874,0.034
2.876,0.036
2.878,0.038
2.88,0.04
2.88,0.02
2.882,0.022
2.884,0.024
2.886,0.026
2.888,0.028
2.89,0.03
2.892,0.032
2.894,0.034
2.896,0.036
2.898,0.038
2.9,0.04
2.9,0.02
2.902,0.022
2.904,0.024
2.906,0.026
2.908,0.028
2.91,0.03
2.912,0.032
2.914,0.034
2.916,0.036
2.918,0.038
2.92,0.04
2.92,0.02
2.922,0.022
2.924,0.024
2.926,0.026
2.928,0.028
2.93,0.03
2.932,0.032
2.934,0.034
2.936,0.036
2.938,0.038
2.94,0.04
2.94,0.02
2.942,0.022
2.944,0.024
2.946,0.026
2.948,0.028
2.95,0.03
2.952,0.032
2.954,0.034
2.956,0.036
2.958,0.038
2.96,0.04
2.96,0.02
2.962,0.022
2.964,0.024
2.966,0.026
2.968,0.028
2.97,0.03
2.972,0.032
2.974,0.034
2.976,0.036
2.978,0.038
2.98,0.04
2.98,0.02
2.982,0.022
2.984,0.024
2.986,0.026
2.988,0.028
2.99,0.03
2.992,0.032
2.994,0.034
2.996,0.036
2.998,0.038
3,0.04
3,0.02
3.002,0.022
3.004,0.024
3.006,0.026
3.008,0.028
3.01,0.03
3.012,0.032
3.014,0.034
3.016,0.036
3.018,0.038
3.02,0.04
3.02,0.02
3.022,0.022
3.024,0.024
3.026,0.026
3.028,0.028
3.03,0.03
3.032,0.032
3.034,0.034
3.036,0.036
3.038,0.038
3.04,0.04
3.04,0.02
3.042,0.022
3.044,0.024
3.046,0.026
3.048,0.028
3.05,0.03
3.052,0.032
3.054,0.034
3.056,0.036
3.058,0.038
3.06,0.04
3.06,0.02
3.062,0.022
3.064,0.024
