"time","OP"
3.25,0.05
3.252,0.052
3.254,0.054
3.256,0.056
3.258,0.058
3.26,0.06
3.262,0.062
3.264,0.064
3.266,0.066
3.268,0.068
3.27,0.07
3.272,0.072
3.274,0.074
3.276,0.076
3.278,0.078
3.28,0.08
3.28,0.04
3.282,0.042
3.284,0.044
3.286,0.046
3.288,0.048
3.29,0.05
3.292,0.052
3.294,0.054
3.296,0.056
3.298,0.058
3.3,0.06
3.302,0.062
3.304,0.064
3.306,0.066
3.308,0.068
3.31,0.07
3.312,0.072
3.314,0.074
3.316,0.076
3.318,0.078
3.32,0.08
3.32,0.04
3.322,0.042
